"period","conso_d","conso_nd","conso_s","gdp","defgdp","inves","definves","loans_nfc","loans_hh","houseprice","hours","wage","longrate","pop","shortrate","riskrate","networth"
1980-10-01,196849.053717448,1201574.07435245,3377303.7854463,7315677,40.81,908306,60.714,1474.673,1420.202,31.3109,66.864,25.648,12.4233333333333,144157.161071647,15.8533333333333,14.67,2.49
1980-07-01,191009.97885275,1196815.27165972,3326894.25901022,7181743,39.774,830866,59.585,1433.52,1378.505,30.6734,65.977,24.983,10.9533333333333,143905.760044893,9.83666666666667,13.17,2.25
1980-04-01,182881.30671096,1199826.1514786,3288912.55871711,7190289,38.905,889579,58.375,1406.542,1343.148,29.7281,66.279,24.366,10.4766666666667,143253.309618809,12.6866666666667,13.36,1.93
1980-01-01,205030.461219179,1216272.3359818,3309795.592238,7341557,38.001,972248,57.039,1384.832,1325.355,29.3484,67.498,23.726,11.9866666666667,142468.67683605,15.0466666666667,13.48,1.96
2007-01-01,969916,2435014,7785646,16611690,85.576,2800037,95.152,9232.076,13566.488,137.2163,95.884,79.945,4.68,195011.347412162,5.25666666666667,6.3,51.72
2007-04-01,980094,2429864,7807260,16713314,86.171,2827010,95.48,9554.851,13857.846,133.1177,96.365,79.85,4.84666666666667,195443.508668146,5.25,6.49,54.61
2007-07-01,992086,2437516,7860926,16809587,86.642,2794526,96.115,9864.18,14094.419,129.388,95.996,80.228,4.73,195956.457317356,5.07333333333333,6.63,54.41
2007-10-01,999506,2435524,7900087,16915191,86.993,2762518,95.658,10143.048,14286.783,125.2371,95.662,81.183,4.26,196233.32904125,4.49666666666667,6.51,54.91
2008-01-01,967195,2416648,7952040,16843003,87.315,2686998,95.411,10334.961,14400.102,120.3378,95.359,81.99,3.66333333333333,196223.478873352,3.17666666666667,6.75,49.77
2008-04-01,960307,2420379,7991302,16943291,87.738,2641850,96.167,10554.874,14350.167,114.8539,94.842,82.098,3.88666666666667,196396.867149284,2.08666666666667,6.99,51.07
2008-07-01,927915,2385067,7984146,16854295,88.399,2589254,96.485,10681.346,14460.441,109.7686,93.757,82.919,3.86333333333333,196702.225743553,1.94,7.21,47.14
2008-10-01,859616,2362307,7997195,16485350,88.613,2338938,98.674,10716.461,14197.024,104.1156,91.156,84.041,3.25333333333333,197178.835633755,0.506666666666667,8.84,34.01
2009-01-01,861124,2361431,7965723,16298262,88.543,2073135,97.19,10623.946,14092.392,101.096,88.846,81.835,2.73666666666667,197290.373416774,0.183333333333333,8.21,30.52
2009-04-01,854876,2347273,7931732,16269145,88.396,1952641,95.443,10548.819,14062.674,101.0873,86.767,83.959,3.31333333333333,197803.799695038,0.18,7.98,34.21
2009-07-01,896394,2354737,7944744,16326281,88.501,1946867,94.584,10397.024,14049.099,101.4031,85.812,84.541,3.51666666666667,198043.587025308,0.156666666666667,6.66,38.54
