"period","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
2009-07-01,9291.23,5957.178,2.61666666666667,3.77337330153203,247.219515151515,97.9910821027805
2009-10-01,9299.314,5996.411,2.56333333333333,3.65555418802332,268.113353846154,98.0347862995083
2010-01-01,9347.522,6008.503,2.39666666666667,3.6965869242731,267.964047619048,97.77479967396
2010-04-01,9444.395,6052.153,2.43,3.59979523130511,261.098253968254,98.8049665029425
2010-07-01,9438.629,6072.613,2.60666666666667,3.44269041335938,259.539863636364,99.6256642250401
2010-10-01,9583.795,6122.203,2.78666666666667,3.74270035475916,273.435106060606,99.937911463715
2011-01-01,9573.288,6123.413,2.90666666666667,4.30445554737065,285.451453125,99.6825382614418
2011-04-01,9678.512,6173.293,3.16666666666667,4.49433249726452,281.18519047619,100.237705474742
2011-07-01,9715.205,6190.512,3.28,4.2734942405652,235.967818181818,100.702068727058
2011-10-01,10026.392,6206.396,3.39666666666667,4.47702492919731,222.43084375,99.6302307688344
2012-01-01,10144.903,6190.243,3.11333333333333,4.26252760263719,243.746230769231,99.029471465364
2012-04-01,10261.37,6207.04,2.99333333333333,4.13842571953091,223.953063492063,98.8394245344733
2012-07-01,10287.376,6196.98,2.72,3.86093793318406,238.722015384615,98.2422508479767
2012-10-01,10131.063,6196.241,2.68,3.30573456628676,251.962625,97.6246851695825
2013-01-01,10174.571,6168.173,2.63,3.04624645455311,268.230112903226,96.2865374042183
2013-04-01,10170.318,6166.912,2.65333333333333,2.81528395066224,271.78365625,96.4010665704733
2013-07-01,10167.36,6166.58,2.62,3.14059291713422,282.129454545455,96.8598196996975
2013-10-01,10106.603,6150.437,2.72333333333333,2.96171025380896,304.858890625,96.0992226317828
2014-01-01,10330.249,6137.199,2.71666666666667,2.65568680740227,315.853142857143,95.9127982080468
2014-04-01,10461.479,6130.935,2.62333333333333,2.21991476965426,326.489634920635,96.634732609756
2014-07-01,10526.405,6128.902,2.39,1.79525193304937,319.391348484849,97.4132060774527
2014-10-01,10615.916,6150.534,2.21666666666667,1.4950548885643,313.00165625,96.9411302584166
2015-01-01,11326.973,6158.028,2.07333333333333,1.00805628660194,351.81746031746,96.890024515171
2015-04-01,11318.377,6177.018,2.00333333333333,1.26971311213518,373.261857142857,98.1114515155354
2015-07-01,11372.036,6199.411,1.91666666666667,1.35469393737021,351.448818181818,99.0518390048348
2015-10-01,11340.465,6220.139,1.89333333333333,1.18463392264393,348.655276923077,99.3059101522397
2016-01-01,11500.984,6224.037,1.81333333333333,1.0347405494418,315.661677419355,99.75999257474
2016-04-01,11639.537,6268.68,1.73,0.875219510248279,318.301661538462,101.270356406028
2016-07-01,11695.807,6302.163,1.64,0.603221714370336,320.67846969697,102.65534559166
2016-10-01,11708.599,6326.813,1.63,0.922837089961785,331.537984375,103.188818316249
2017-01-01,11878.458,6353.58,1.59333333333333,1.20068526302885,357.355784615385,103.421903440248
2017-04-01,11842.595,6408.311,1.60333333333333,1.09141997286719,382.08819047619,104.906589298817
2017-07-01,11835.198,6446.801,1.56,1.0974172681378,377.791907692308,106.52580877176
2017-10-01,11887.628,6492.225,1.55333333333333,0.979823213424747,391.090301587302,107.228867492035
2018-01-01,11897.18,6499.434,1.5,1.10143770187922,385.26073015873,107.850558702577
2018-04-01,11968.79,6562.14,1.48333333333333,1.06021917325693,386.55265625,109.297099767741
