"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
1996-10-01,1896033.80352497,78.8143963937709,1072986.31973938,78.3502899881159,399203.103584647,79.9364626149574,723231.97735845,4.58661514181591,132284.366877726,55335834.3879522,214396.133708963,3997.07291570192,2561.37536717409,6.32865982924437,6.44074026446544,160.294090909091,58.5696170505488
1997-01-01,1900339.95323443,79.0958916616045,1076570.06910212,78.737985160393,395911.828060959,80.3987165309407,729409.116299679,4.43994980007545,132596.803135435,55420903.3918808,214503.793624568,4054.46104571664,2594.8878518823,6.16179687171152,6.17209969377246,183.6990625,58.2922782653009
1997-04-01,1924885.67246304,79.404676128206,1085845.11238608,78.9123966766107,403199.185844951,80.5760375890728,734322.261820841,4.32661808145114,132959.334068057,55516371.9694778,214609.774933941,4103.67754999662,2656.73893735261,6.01511439373198,6.18868277670483,199.27,59.1981841088262
1997-07-01,1939406.28687224,79.7222118107922,1088430.43659809,79.5546865056625,404790.903132736,80.9323932700327,740486.88136185,4.3232841191463,133406.118807387,55622193.8027371,214714.630458369,4132.5467589513,2700.14225579292,5.99603683159508,5.78074709528217,225.562727272727,59.6079871744378
1997-10-01,1960613.23517753,80.0721789816193,1101418.57957721,79.8184035795305,413773.617777921,81.1478223298338,746222.941806536,4.43328287545448,133800.484956534,55865114.691287,214818.929823759,4185.45816746925,2738.79497846395,6.09016976109799,5.57180442918763,221.086515151515,59.4192934857542
1998-01-01,1972927.38434289,80.3328794567245,1108529.6325176,79.8386876652301,422175.036571709,81.1424822554944,750196.569189943,4.20328547590102,134594.013696363,56116371.605073,214923.254869561,4260.83653510864,2768.99930326704,5.84645585944979,5.09090497379968,254.36875,59.2944397861565
1998-04-01,1980991.62045341,80.8218599196423,1115606.62742499,80.1159542205229,423059.772053263,81.3243314168233,758539.557057873,4.05662113414925,135279.421019636,56373993.631675,215028.194781807,4309.44636607713,2837.50143988519,5.66163451167495,4.96487573243684,302.654153846154,60.249292428181
1998-07-01,1992166.58229971,80.9996050892871,1125877.16347101,80.3579404656165,430734.816511081,81.4527259033868,767824.538328277,3.93662249090397,136071.710865476,56636009.8586728,215134.340937849,4358.36428157946,2884.5363538119,5.54478741117496,4.53704074948136,295.358636363636,61.0792742146032
1998-10-01,1997583.37691186,81.3458736335617,1136220.8224424,80.4501338628457,434885.905592225,81.6493156218449,775840.375341344,3.62329203354882,136638.500088194,56843784.1772833,215242.28144579,4433.46621720561,2957.49604053844,5.22294168945784,4.12578884945825,268.968484848485,60.9259125794081
1999-01-01,2014958.9,81.376,1143626,80.441,443106.7,81.596,781540.4,3.0886,137278.26,57052871,215352.595423341,4435.071,3031.184,4.67176666666666,3.97845207378669,305.18609375,61.5435374302005
