"period","pubcons_rpc","pubinves_rpc","salaries_rpc","subs_rpc","dirtax_rpc","indirtax_rpc","tfs_rpc","sce_rpc","scr_rpc","debt_rpc"
1994-01-01,1772.57781351265,315.913906715806,951.473876377792,152.347733413092,971.083737501365,982.976813728919,1418.20478634045,739.629928315901,696.884699727606,22451.2110756601
1994-04-01,1754.49403971782,315.70140556303,947.20201637898,151.718656265569,969.512774415465,984.863620608037,1422.278499598,743.375417565566,695.783628340798,22751.0096411312
1994-07-01,1751.60227714619,308.40178856292,938.906123907608,151.885600268387,968.155108330885,987.287247220126,1425.22299357546,750.02912192879,697.818456968115,23073.6888628606
1994-10-01,1749.59537324728,312.191971606656,934.177904680181,151.453097402941,974.636163420884,993.80164672708,1426.82335276165,755.4149645429,699.244111233582,23389.6322455237
1995-01-01,1747.8485901183,310.571207051046,940.755847547546,150.969894567344,973.998457896618,985.101454088728,1429.46601926044,758.525038127503,701.357153994247,23914.2677980424
1995-04-01,1756.35591260658,303.380561577546,940.507148072314,147.886286556633,984.63956216719,988.459032250075,1433.20478332246,761.820232281702,702.597514354881,24354.7888912201
1995-07-01,1765.96211549139,301.079100735925,942.566644965137,145.807611537488,988.2256671302,993.844421165001,1439.09949114772,763.59112801661,703.51997559142,24794.5606670851
1995-10-01,1781.23393579996,295.338598249476,951.6075057977,144.942939757918,1007.90481746212,994.373825958172,1448.41588097877,764.237302751407,704.300000232332,25214.9853516504
1996-01-01,1794.62935699515,295.217332671383,962.649601166097,145.194322909668,1031.49109578094,1011.92287327993,1471.2636672104,769.396187378251,734.52433997917,25632.1592189838
1996-04-01,1809.9321982229,301.846364281392,973.826739271903,145.794767912484,1031.4294112123,1018.81528837168,1483.09176940783,772.295294001424,738.859955871148,25974.6115928904
1996-07-01,1816.53790910345,302.075930806234,978.129859494737,144.213587817247,1053.87125812469,1023.71813487993,1490.87648160608,773.115546215141,741.818154721957,26225.2496392491
1996-10-01,1812.34069299757,301.146214390687,970.317569765572,141.291620979473,1036.67051663938,1028.82999053526,1492.29483777307,774.300669753171,744.632365933049,26433.5191214482
1997-01-01,1803.06433510974,290.551101421725,964.5801206597,137.335055788576,1040.71634668373,1027.85450009934,1491.03503305933,771.416653557976,747.526978275726,26484.1065840886
