"period","world_demand","oil_prices","reer","exports","imports"
"2016Q4",114.112867718335,49.4809141414,96.9866666666667,102.343333333333,103.213333333333
"2017Q1",114.253383645602,53.7487567288,95.47,103.936666666667,104.57
"2017Q2",115.134856041911,49.7666762866667,97.5466666666667,103.95,105.716666666667
"2017Q3",115.961468089148,52.0708658008667,101.693333333333,105.09,106.69
"2017Q4",116.620844112851,61.3511164274,102.36,106.74,108.026666666667
"2018Q1",117.390405094492,66.7250721501,103.393333333333,108.12,108.813333333333
"2018Q2",117.744986103964,74.3142698412667,103.106666666667,106.87,108.613333333333
"2018Q3",118.123874854907,75.2256212121333,102.173333333333,106.7,109.183333333333
"2018Q4",117.640031388744,67.6984162597667,101.19,105.73,109.363333333333
"2019Q1",116.998148352782,63.1502431457333,99.5066666666667,108.01,110.876666666667
"2019Q2",117.953503791256,68.7055079365,100.03,106.173333333333,108.976666666667
"2019Q3",118.448748900448,61.7744927536333,99.3766666666667,106.196666666667,109.386666666667
"2019Q4",117.194710249444,63.223463078,98.2166666666667,105.553333333333,107.28
"2020Q1",116.836452984971,50.1830909090667,97.3766666666667,102.68,104.266666666667
"2020Q2",112.419155392325,29.2145295056,99.53,80.79,90.92
"2020Q3",115.680568253012,42.8757997365,101.553333333333,98.53,101.95
"2020Q4",117.698190466883,44.0903823954,101.536666666667,104.546666666667,106.796666666667
"2021Q1",119.904199800057,60.8401594203,101.423333333333,104.453333333333,106.33
"2021Q2",119.705227141506,68.6974553429,101.673333333333,104.393333333333,109.416666666667
"2021Q3",119.739876364788,73.3798268398333,100.08,103.273333333333,108.213333333333
"2021Q4",121.851099451756,79.6396969697,98.7166666666667,105.166666666667,115.493333333333
"2022Q1",122.012251357446,101.278815408085,98.28,107.006666666667,117.526666666667
"2022Q2",122.303678670066,113.747604427736,97.4933333333333,107.84,122.746666666667
"2022Q3",124.498842349388,100.671911976912,95.5033333333333,106.39,123.916666666667
"2022Q4",124.056481572545,88.1879632034632,98.3966666666667,107.953333333333,119.546666666667
