"period","debt","dirtax","indirtax","intpay","pubcons","pubinves","salaries","sce","scr","subs","tfs","totexp","totrev","unemp"
2003-10-01,5486777.87465856,224989.816918923,244108.901987122,62039.576495023,402650.314023832,66410.2580022597,206623.813569109,145279.382592443,159194.57204266,26579.6659656616,318747.853661748,952267.100296607,878488.248297399,32529.8206754176
2004-01-01,5561622.40347633,225322.261586733,245426.583062679,60982.4592243516,407222.846336862,65623.6296731909,209067.490788631,146606.134398834,160383.628623064,26197.143096764,321860.357821281,958651.283231008,879482.696317582,32275.3770201728
2004-04-01,5633849.54515095,232929.262666174,248295.715548996,62129.9544405105,411010.59888439,65792.3823616102,210440.25020137,147219.951602721,161093.866441511,27312.0170577022,323577.703127817,967141.702813182,892632.864656698,32007.8499229872
2004-07-01,5700244.39523749,230291.150973558,252257.654985442,62342.1985346768,412885.109478761,65936.4984968571,210698.602542844,148511.419082929,162511.625825219,26061.7945136233,326108.51051039,971977.361708963,899879.701988204,33022.7136964705
2004-10-01,5743173.48614843,234214.754147798,255140.048147752,62321.4288880087,415776.517027704,66548.075475537,212478.266151574,149443.363745495,163536.788006407,26015.4104934582,328467.637059575,982358.603641885,911702.25089432,34338.0037444302
2005-01-01,5810036.55400928,239210.163947799,256911.749886242,61482.5435756955,421713.078575418,67718.4552511504,214532.172992284,150016.28217359,164452.032633138,26035.0046619068,330835.392933929,992932.04096757,922605.507168311,35640.8486953825
2005-04-01,5877046.80948252,239061.448817499,262831.544857561,62450.5761430949,425385.994304555,69544.9729012241,215434.236846341,151458.982061621,166123.284036271,25981.9474438342,332974.823506832,998086.697911094,929028.604878142,36958.5745229547
2005-07-01,5919665.19712973,247750.498524753,265666.306491964,61243.4638476767,428955.384321273,70017.7467852103,217440.426847932,152332.307165245,167213.415042549,25918.1480056078,334849.080622231,1003406.30433028,946055.187040532,36976.2969343893
2005-10-01,6001244.05924819,251514.153898392,268435.30032502,62236.2737289852,436170.475736552,69813.5752393513,224795.526025867,154135.87838798,169453.483954309,25885.7645093666,337490.18749168,1010056.35510461,956336.019322902,37116.9152573646
2006-01-01,6036558.30049368,261083.069421711,274331.396037141,62178.41556084,438240.044688388,71251.1569910409,221471.848000975,155886.041821324,171287.342611588,26216.2404101842,343031.541080286,1019408.80231478,975892.592662482,38382.125721989
2006-04-01,6066769.95494559,265274.052697754,276675.70220026,63222.9613322195,444574.446074068,72647.1110283198,224870.095585214,157037.227751423,173012.590002472,26584.9900262073,341759.574755435,1030914.15030877,988761.158765988,36440.5146702886
2006-07-01,6122773.96321946,270166.076317617,280028.514348232,63830.374606291,448564.199160874,74140.8621713162,226992.177748037,158844.601820697,175497.001175696,27123.355174528,344850.838552957,1043493.84873997,1001811.27607285,35636.4234481151
2006-10-01,6149254.87332921,279249.018230395,283432.548965054,63662.2979717501,454316.992146739,75904.8621543283,227793.491585883,159423.651556066,176775.256572431,27364.4507750048,347594.806391022,1056867.3819611,1016946.43357978,34141.6039676113
2007-01-01,6187061.70368705,281491.350769324,293620.385676616,66021.7006196442,455340.747061208,76879.0640938089,229528.233042352,159956.576764802,178457.297073818,27360.4804091536,350936.001548729,1058483.18764892,1033844.30571652,34142.2994995008
2007-04-01,6230994.05654335,293509.061849288,296848.3399731,67541.5745259532,457681.115681406,76023.4498078348,231224.476630971,160729.130029856,180253.069784858,27398.0130353059,354789.800098522,1066607.8350565,1050389.08896991,34769.1360799311
2007-07-01,6255429.55313781,299406.20195795,300500.074037889,67472.8252360874,463078.89788375,77765.287740111,233960.992433488,160890.754503349,181574.461740901,27457.0856546022,352250.509047219,1077746.27996725,1063805.65635906,34910.3627631615
2007-10-01,6283538.64916745,303948.965270799,304929.03860504,68346.6123256288,467965.134413362,78590.2139135706,237860.247242005,161822.627177848,183385.555233802,27844.9857853565,361710.325244915,1087700.04463306,1077054.22527609,36861.6899019642
2008-01-01,6322167.19602896,307173.978688279,298427.616308433,71140.771412224,475193.99141693,79456.318932734,240252.462732289,167053.780959668,185369.398969701,28126.5580687407,364490.256767966,1107238.91614301,1076919.6066142,34608.0264592398
2008-04-01,6382137.68063928,302062.313333638,298470.65633032,71777.906554426,483124.696014341,81469.5982523017,243065.724918582,167896.335245765,186585.942149609,28456.4000505876,368375.681271023,1120658.66719045,1083235.72798665,35412.8783006545
2008-07-01,6481839.8243456,300729.438746723,294779.966961995,71047.1761312021,486715.053767202,81440.0986915625,245493.331434814,168018.3505411,186925.56271199,29030.9653908107,372771.209525212,1131383.39875457,1077167.01860459,35851.6120772603
2008-10-01,6803183.87306826,293256.456048793,288813.509814276,67872.0533932291,492350.959903933,82366.2311169844,247967.551008265,167993.22538427,187131.81837781,29526.6049470089,379018.269516821,1146171.60102167,1062926.17364472,37096.6800087802
2009-01-01,7001891.6740391,286222.353316899,285530.508167383,66147.1402367457,498993.241747618,84790.392247233,250294.435986054,168423.094881765,186223.993361962,30205.020557309,386161.20039631,1158537.42185679,1051757.11346188,43920.4453438555
2009-04-01,7184662.53677815,265914.719149242,282485.448622279,64748.3561834552,503099.510774981,85805.4216432692,252217.133820457,167801.718278876,185508.952609678,34353.5395144703,394646.684195962,1177001.08836026,1036812.21082808,44914.3631050428
2009-07-01,7362404.81539816,266616.940371138,283218.911349248,65605.892132021,508399.31078546,85729.0921414823,254553.048435421,168428.573468969,185826.054098767,34549.6887893315,399483.557201882,1189623.80676451,1036476.24076487,45325.3320468152
2009-10-01,7519281.32620123,268578.378504579,288451.202677357,66594.1686187201,510796.580962029,85720.5465644934,255740.001137367,168884.663062828,185944.105831285,34510.3866545825,402076.593189644,1198800.89872189,1044742.16223529,45888.547245744
2010-01-01,7639562.97708439,272746.49985294,289843.365528029,65671.0346538135,511576.996734453,83815.7133813866,255771.808811056,169286.472383677,186805.420259898,34449.7940476972,404734.112028001,1205596.94386318,1048567.03225634,46189.4741518507
2010-04-01,7770766.13255772,276673.429063411,296274.230134794,65496.7586967099,513694.144182787,82600.9443563445,256277.406786427,171015.56815251,188456.9247066,34378.1878750496,404391.324944012,1203281.34839112,1066142.99137395,45886.8460246351
2010-07-01,7885543.86911546,277195.290233737,300380.168322295,66407.3083031845,514263.85495173,82079.4716790805,256119.035461326,171839.687985547,189296.211708648,34047.2627242587,405924.76019986,1241514.57055341,1073948.10179386,45731.6576135332
