"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop"
1983-10-01,1407714.15292473,46.0678562229001,798652.826459252,46.8118864392218,287552.349375408,51.9045096485409,349408.485438484,12.1690058781433,123730.956513156,56287725.7628722,201926.523764162
1984-01-01,1419808.55713027,46.8800780910663,805791.026324823,47.5750353992148,289469.758081789,52.4067372915804,356886.483279669,11.4315611420011,123550.815446067,56156760.7569013,202358.676800103
1984-04-01,1413099.29883123,47.5711455144534,803129.949831155,48.3108346580808,282642.506029141,53.1511302940449,357866.327893514,10.8578106330637,123439.405565841,56033022.8746464,202779.926924519
1984-07-01,1427668.2989401,48.3352471572302,804683.909254102,49.0815584931683,286458.67876921,53.9663649557935,365469.073352544,10.413454807136,123601.128159109,55917415.4514049,203189.887492566
1984-10-01,1434974.50923118,48.8166348886522,806055.336727804,49.8057119281112,288870.437769359,54.7895268184511,372017.019469544,10.1279961406508,123574.669236058,55833434.086274,203588.302923929
1985-01-01,1438199.01972079,49.6319808723036,813105.571091056,50.6393584805607,285553.122501121,55.4408180078953,379597.001718071,9.86331709622246,123607.323724102,55759046.9197746,203975.047816996
1985-04-01,1451922.15879829,50.2937779261251,818539.360288469,51.262306972367,290156.855962414,56.1457904154492,385586.454433542,9.96147674938847,123756.925024419,55694814.3562274,204350.123224251
1985-07-01,1464212.92781994,51.0832513716011,826171.051847797,51.8535814815695,296180.088816749,56.7244872155255,394118.154790946,9.34669878032464,123977.590335417,55641296.7999532,204713.650112001
1985-10-01,1472942.37222186,51.823783213184,832256.928435805,52.4840753184297,299705.671786187,57.5581069474915,401055.2505092,8.627874483652,124314.579008685,55684527.6803849,205065.859948506
1986-01-01,1467917.47713336,52.7776282907508,835120.520608824,52.9268890364058,296795.909745647,57.8433614195082,407725.186031089,8.74852127456905,124658.573468314,55738296.9703169,205407.083014702
1986-04-01,1494832.18300051,53.4984422016728,850209.179958279,53.2399934626387,304653.636935599,58.4110767500965,414914.50751396,8.02830292365816,124943.660843701,55801867.6676557,205737.734962621
1986-07-01,1502426.16913172,54.0805955432202,856448.766044928,53.602150796358,309017.761043574,58.6443364845699,421570.400833681,7.75325359648059,125351.883277962,55874502.7703079,206058.302084875
1986-10-01,1506146.76355512,54.5431392654763,862964.681077722,54.0980893626142,311758.584220425,59.2185542961096,427321.335953125,7.87468454353165,125813.778481623,55993763.4105362,206369.325705203
1987-01-01,1498918.36358693,54.9779834458962,864488.620180181,54.5036150328496,306628.932829172,59.7477936598899,432357.53635225,8.10526133353428,126092.539730805,56120033.1194166,206671.386155224
1987-04-01,1524171.40259365,55.4920426862513,879437.606194216,55.0212870985557,316833.153939663,60.2810707698899,441402.89650039,8.42573159516382,126435.400311556,56251993.5623813,206965.086768153
1987-07-01,1540539.6000366,55.8819483001896,887004.078082754,55.4432970173785,324179.274842537,60.6646815339421,448438.023019358,8.49014051192974,126790.763741475,56388326.4048626,207251.038295852
1987-10-01,1560176.6720558,56.5482442803271,898168.088648572,55.8577340450373,329070.295960077,61.4809671862486,456275.970227672,8.42591686806905,127130.890790308,56573908.9534682,207529.844141208
1988-01-01,1568791.98704914,57.0908686756047,898642.651683158,56.2607630151982,334378.708613355,61.9611372143033,464480.801680523,7.45351488645148,127686.844447925,56760526.0226744,207802.086667908
1988-04-01,1583213.44240026,57.722687914256,903613.549236063,56.8893109215786,340696.429485062,62.6891425023854,472315.283161842,7.25975435118892,128155.254480376,56946158.0681331,208068.31485424
1988-07-01,1602823.18151428,58.2387290947058,916630.165180864,57.4454564334257,346433.003893792,63.4592323424372,480133.520823418,7.97430234621122,128478.535126866,57128785.5454961,208329.033570747
1988-10-01,1617646.81083525,59.0002388217248,923484.344082196,58.0533532269868,352722.063996741,64.0829361746893,488185.369993243,8.47532668142108,128813.908195844,57232277.0531434,208584.694782384
1989-01-01,1636648.15104354,59.7168223679452,932385.58057174,58.7259440825165,361827.714567376,64.8173206832974,499578.924132228,9.51583903395438,129384.125305326,57329849.8577354,208835.690661976
1989-04-01,1652207.08709727,60.2333820546341,938208.992000041,59.6189539523166,365415.605796675,65.614876120403,507386.501596898,9.69123550784868,129909.684728523,57420609.3686609,209082.34863486
1989-07-01,1662086.94435832,60.841476940306,949081.250105964,60.1736498978032,367982.07384809,66.0486079214011,518152.015461385,10.1019317303459,130604.439349466,57503660.9953084,209324.928411934
1989-10-01,1679406.70036682,61.6714412611339,958920.274202344,60.8364752375771,376637.153963838,66.8622667290124,529833.585888006,11.0717769448713,131482.408353251,57632348.2378266,209563.621108819
1990-01-01,1702174.7520862,62.5487955905527,966759.64630871,61.4170613218736,387799.149687906,67.8096569390275,545516.687517323,11.2255355314126,132306.103232157,57750715.1276521,209798.550227738
1990-04-01,1709947.69072372,63.4414347761474,972963.552937262,62.1232189058918,385586.033236989,68.7547772147397,559007.480309925,10.617898085615,132885.684510167,57857043.7869812,210029.774321553
1990-07-01,1725806.60886095,64.0286553237717,976215.186973803,62.8912545153185,386917.883083278,69.3585791865693,569029.009735606,10.5362177171273,133412.675662309,57949616.3380105,210257.29120171
1990-10-01,1735572.366502,64.782896962667,984821.814162588,63.8079950920179,389833.508119026,70.0210239836996,582224.381269332,11.046166203437,134015.378817592,57785451.1356035,210481.043592382
1991-01-01,1747566.2178378,65.6601658231791,995640.482072209,64.3640227126176,389839.649231927,70.6516565363495,591046.590602662,11.0963972265041,134560.915628171,57607756.2440969,210700.925987991
1991-04-01,1752757.15791966,66.598099067441,1004181.21218092,65.2461598045965,390706.05080277,71.762973320699,606088.702410388,10.4614395206008,134444.088809289,57418475.9604947,210916.792505701
1991-07-01,1752272.9262873,67.4488313325289,1000862.54169969,66.3130856658501,390081.692373809,72.6365606206482,613024.6552084,10.5058770051721,133953.201808845,57219554.5818006,211128.465554623
1991-10-01,1768937.06247548,68.4550881593054,1014981.36913497,67.2345551695182,395328.312054125,73.014764981881,622959.25764267,10.7320933694755,133767.779426581,57061877.2750229,211335.745168697
1992-01-01,1795640.11338902,68.9636453868679,1021129.49360348,67.8398625524123,402437.012680289,73.3366942076615,635360.313633324,10.849124833269,133639.162745242,56897704.5871871,211538.418688233
1992-04-01,1781933.53862395,69.607191944229,1022290.09273536,68.4943688142854,396526.820955681,73.651877432214,641605.913937803,10.9789641712512,133433.3760551,56728237.9353231,211736.270489034
